Training information

epoch, accuracy, MSE, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
30,0.9561, 0.008572864173878215, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.9584833333333334, 0.00820627536753864, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.95995, 0.007883487738781713, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.9608666666666666, 0.007566074670282257, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0.96195, 0.00764742645195984, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0.9622166666666667, 0.007317961315342531, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.9650666666666666, 0.006898916555558907, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,0.9646166666666667, 0.006960410995785407, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,0.9661833333333333, 0.00681709705585809, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0.9683, 0.00659851553878703, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.9680833333333333, 0.006450410688685355, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,0.96945, 0.006340052321111369, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,0.9716833333333333, 0.0060565233778116494, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,0.9721666666666666, 0.0060402243792968685, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,0.9714, 0.006087390834668775, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,0.9726666666666667, 0.005903839023310209, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,0.9732, 0.0058801053401600365, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,0.9757, 0.005678945037421773, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0.9773333333333334, 0.005545367927100418, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,0.9775666666666667, 0.005405376983225975, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Test information

accuracy, mse, prec. label 0,prec. label 1,prec. label 2,prec. label 3,prec. label 4,prec. label 5,prec. label 6,prec. label 7,prec. label 8,prec. label 9
0.9255, 0.027318673247430512, 1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
